tweet_id,type,creation_date,date
1609437007457169409,retweeted,2023-01-01 06:30:59+00:00,2023-01-01
1609437553496563712,retweeted,2023-01-01 06:33:09+00:00,2023-01-01
1609437709151371265,tweet,2023-01-01 06:33:46+00:00,2023-01-01
1609437731247247360,retweeted,2023-01-01 06:33:51+00:00,2023-01-01
1609437735428710403,retweeted,2023-01-01 06:33:52+00:00,2023-01-01
1609438129051639808,retweeted,2023-01-01 06:35:26+00:00,2023-01-01
1609438620854910978,tweet,2023-01-01 06:37:23+00:00,2023-01-01
1609438709237047296,retweeted,2023-01-01 06:37:44+00:00,2023-01-01
1609439460760121348,tweet,2023-01-01 06:40:44+00:00,2023-01-01
1609440359901274114,retweeted,2023-01-01 06:44:18+00:00,2023-01-01
1609440825200545797,retweeted,2023-01-01 06:46:09+00:00,2023-01-01
1609440845710729216,retweeted,2023-01-01 06:46:14+00:00,2023-01-01
1609440852962856960,tweet,2023-01-01 06:46:15+00:00,2023-01-01
1609440953575837696,retweeted,2023-01-01 06:46:39+00:00,2023-01-01
1609441736379490304,tweet,2023-01-01 06:49:46+00:00,2023-01-01
1609442297665720320,retweeted,2023-01-01 06:52:00+00:00,2023-01-01
1609442657314689024,tweet,2023-01-01 06:53:26+00:00,2023-01-01
1609442872578961409,retweeted,2023-01-01 06:54:17+00:00,2023-01-01
1609443376478261249,retweeted,2023-01-01 06:56:17+00:00,2023-01-01
1609443390906826759,tweet,2023-01-01 06:56:21+00:00,2023-01-01
1609444145185136640,retweeted,2023-01-01 06:59:20+00:00,2023-01-01
1609444170984292352,retweeted,2023-01-01 06:59:27+00:00,2023-01-01
1609444193646292992,tweet,2023-01-01 06:59:32+00:00,2023-01-01
1609444440950640640,tweet,2023-01-01 07:00:31+00:00,2023-01-01
1609444485930553345,retweeted,2023-01-01 07:00:42+00:00,2023-01-01
1609445476822093824,tweet,2023-01-01 07:04:38+00:00,2023-01-01
1609447122792849408,retweeted,2023-01-01 07:11:10+00:00,2023-01-01
1609447249427271681,tweet,2023-01-01 07:11:41+00:00,2023-01-01
1609447272164560896,retweeted,2023-01-01 07:11:46+00:00,2023-01-01
1609447413827178497,retweeted,2023-01-01 07:12:20+00:00,2023-01-01
1609447444114186240,tweet,2023-01-01 07:12:27+00:00,2023-01-01
1609447551094214656,retweeted,2023-01-01 07:12:52+00:00,2023-01-01
1609447569389748224,retweeted,2023-01-01 07:12:57+00:00,2023-01-01
1609447736939810818,retweeted,2023-01-01 07:13:37+00:00,2023-01-01
1609448163735117825,retweeted,2023-01-01 07:15:18+00:00,2023-01-01
1609448359944937472,tweet,2023-01-01 07:16:05+00:00,2023-01-01
1609448779345690627,retweeted,2023-01-01 07:17:45+00:00,2023-01-01
1609449225451933697,retweeted,2023-01-01 07:19:32+00:00,2023-01-01
1609449241310810118,replied_to,2023-01-01 07:19:35+00:00,2023-01-01
1609449342540161025,retweeted,2023-01-01 07:20:00+00:00,2023-01-01
1609449771630227456,retweeted,2023-01-01 07:21:42+00:00,2023-01-01
1609450536947924992,retweeted,2023-01-01 07:24:44+00:00,2023-01-01
1609451022971191296,tweet,2023-01-01 07:26:40+00:00,2023-01-01
1609451256304517121,tweet,2023-01-01 07:27:36+00:00,2023-01-01
1609451267138662402,retweeted,2023-01-01 07:27:38+00:00,2023-01-01
1609451497749610496,retweeted,2023-01-01 07:28:33+00:00,2023-01-01
1609451734459449344,tweet,2023-01-01 07:29:30+00:00,2023-01-01
1609452001947013121,retweeted,2023-01-01 07:30:34+00:00,2023-01-01
1609452346051796993,tweet,2023-01-01 07:31:56+00:00,2023-01-01
1609452955916242945,retweeted,2023-01-01 07:34:21+00:00,2023-01-01
1609453350076178434,retweeted,2023-01-01 07:35:55+00:00,2023-01-01
1609454245266460675,retweeted,2023-01-01 07:39:28+00:00,2023-01-01
1609454641691099136,retweeted,2023-01-01 07:41:03+00:00,2023-01-01
1609454958344019968,retweeted,2023-01-01 07:42:18+00:00,2023-01-01
1609455857754079233,retweeted,2023-01-01 07:45:53+00:00,2023-01-01
1609455986909270016,tweet,2023-01-01 07:46:24+00:00,2023-01-01
1609456240249241601,replied_to,2023-01-01 07:47:24+00:00,2023-01-01
1609456838147444736,retweeted,2023-01-01 07:49:47+00:00,2023-01-01
1609457068091768832,tweet,2023-01-01 07:50:41+00:00,2023-01-01
1609457542777966594,retweeted,2023-01-01 07:52:35+00:00,2023-01-01
1609457649917251586,retweeted,2023-01-01 07:53:00+00:00,2023-01-01
1609457685413662720,retweeted,2023-01-01 07:53:09+00:00,2023-01-01
1609458176541315072,retweeted,2023-01-01 07:55:06+00:00,2023-01-01
1609458197311680512,retweeted,2023-01-01 07:55:11+00:00,2023-01-01
1609458810598428672,retweeted,2023-01-01 07:57:37+00:00,2023-01-01
1609458959932616704,tweet,2023-01-01 07:58:13+00:00,2023-01-01
1609459412229390338,tweet,2023-01-01 08:00:00+00:00,2023-01-01
1609459423537242112,replied_to,2023-01-01 08:00:03+00:00,2023-01-01
1609459422962630657,tweet,2023-01-01 08:00:03+00:00,2023-01-01
1609459425835909121,tweet,2023-01-01 08:00:04+00:00,2023-01-01
1609459844125278209,tweet,2023-01-01 08:01:43+00:00,2023-01-01
1609459923884064769,tweet,2023-01-01 08:02:02+00:00,2023-01-01
1609459921405333504,tweet,2023-01-01 08:02:02+00:00,2023-01-01
1609461109441839104,retweeted,2023-01-01 08:06:45+00:00,2023-01-01
1609461367555391488,retweeted,2023-01-01 08:07:47+00:00,2023-01-01
1609461926580391936,retweeted,2023-01-01 08:10:00+00:00,2023-01-01
1609462212153810948,retweeted,2023-01-01 08:11:08+00:00,2023-01-01
1609462251534319618,tweet,2023-01-01 08:11:17+00:00,2023-01-01
1609462361085313024,tweet,2023-01-01 08:11:43+00:00,2023-01-01
1609462681269899264,tweet,2023-01-01 08:13:00+00:00,2023-01-01
1609463216500776962,tweet,2023-01-01 08:15:07+00:00,2023-01-01
1609463227221528577,retweeted,2023-01-01 08:15:10+00:00,2023-01-01
1609463268610818049,retweeted,2023-01-01 08:15:20+00:00,2023-01-01
1609463334377787394,tweet,2023-01-01 08:15:35+00:00,2023-01-01
1609463436064296964,tweet,2023-01-01 08:16:00+00:00,2023-01-01
1609463814441013249,replied_to,2023-01-01 08:17:30+00:00,2023-01-01
1609464097141133312,retweeted,2023-01-01 08:18:37+00:00,2023-01-01
1609464477979914242,retweeted,2023-01-01 08:20:08+00:00,2023-01-01
1609464513320869888,replied_to,2023-01-01 08:20:17+00:00,2023-01-01
1609466314506080256,retweeted,2023-01-01 08:27:26+00:00,2023-01-01
1609466444307390468,tweet,2023-01-01 08:27:57+00:00,2023-01-01
1609466618308079616,tweet,2023-01-01 08:28:38+00:00,2023-01-01
1609466683156045825,tweet,2023-01-01 08:28:54+00:00,2023-01-01
1609467385861242880,retweeted,2023-01-01 08:31:41+00:00,2023-01-01
1609467727294472192,retweeted,2023-01-01 08:33:03+00:00,2023-01-01
1609467830046531584,retweeted,2023-01-01 08:33:27+00:00,2023-01-01
1609467998947139586,retweeted,2023-01-01 08:34:08+00:00,2023-01-01
1609468525436977152,tweet,2023-01-01 08:36:13+00:00,2023-01-01
1609469737758597120,replied_to,2023-01-01 08:41:02+00:00,2023-01-01
1609471468194369537,tweet,2023-01-01 08:47:55+00:00,2023-01-01
1609471495469928450,retweeted,2023-01-01 08:48:01+00:00,2023-01-01
1609471503338201088,retweeted,2023-01-01 08:48:03+00:00,2023-01-01
1609472059176013826,retweeted,2023-01-01 08:50:16+00:00,2023-01-01
1609472107561291776,retweeted,2023-01-01 08:50:27+00:00,2023-01-01
1609472127799005186,retweeted,2023-01-01 08:50:32+00:00,2023-01-01
1609472729274630145,retweeted,2023-01-01 08:52:55+00:00,2023-01-01
1609473328787427330,retweeted,2023-01-01 08:55:18+00:00,2023-01-01
1609473688205656064,retweeted,2023-01-01 08:56:44+00:00,2023-01-01
1609473781013045251,retweeted,2023-01-01 08:57:06+00:00,2023-01-01
1609474088262684672,tweet,2023-01-01 08:58:19+00:00,2023-01-01
1609474172488679425,retweeted,2023-01-01 08:58:39+00:00,2023-01-01
1609474169900797953,retweeted,2023-01-01 08:58:39+00:00,2023-01-01
1609474370782564352,retweeted,2023-01-01 08:59:27+00:00,2023-01-01
1609474667126849536,retweeted,2023-01-01 09:00:37+00:00,2023-01-01
1609474994337185792,retweeted,2023-01-01 09:01:55+00:00,2023-01-01
1609476638248411139,retweeted,2023-01-01 09:08:27+00:00,2023-01-01
1609477031309475840,retweeted,2023-01-01 09:10:01+00:00,2023-01-01
1609477474038980608,replied_to,2023-01-01 09:11:47+00:00,2023-01-01
1609477611247513602,retweeted,2023-01-01 09:12:19+00:00,2023-01-01
1609477816734699521,retweeted,2023-01-01 09:13:08+00:00,2023-01-01
1609477872091267072,retweeted,2023-01-01 09:13:22+00:00,2023-01-01
1609477885215277057,retweeted,2023-01-01 09:13:25+00:00,2023-01-01
1609477985773539330,retweeted,2023-01-01 09:13:49+00:00,2023-01-01
1609478349235052544,retweeted,2023-01-01 09:15:15+00:00,2023-01-01
1609478394034388992,retweeted,2023-01-01 09:15:26+00:00,2023-01-01
1609478412598484993,retweeted,2023-01-01 09:15:30+00:00,2023-01-01
1609478528671846400,tweet,2023-01-01 09:15:58+00:00,2023-01-01
1609478791784431617,retweeted,2023-01-01 09:17:01+00:00,2023-01-01
1609479179548098563,tweet,2023-01-01 09:18:33+00:00,2023-01-01
1609479591097413632,retweeted,2023-01-01 09:20:11+00:00,2023-01-01
1609480350933323776,retweeted,2023-01-01 09:23:13+00:00,2023-01-01
1609480550729027585,retweeted,2023-01-01 09:24:00+00:00,2023-01-01
1609480667687182337,retweeted,2023-01-01 09:24:28+00:00,2023-01-01
1609480854702796802,retweeted,2023-01-01 09:25:13+00:00,2023-01-01
1609481267250352135,tweet,2023-01-01 09:26:51+00:00,2023-01-01
1609481406261895168,tweet,2023-01-01 09:27:24+00:00,2023-01-01
1609481434477068288,retweeted,2023-01-01 09:27:31+00:00,2023-01-01
1609481453519372289,retweeted,2023-01-01 09:27:35+00:00,2023-01-01
1609481464852144134,retweeted,2023-01-01 09:27:38+00:00,2023-01-01
1609481633660387329,retweeted,2023-01-01 09:28:18+00:00,2023-01-01
1609481633643593728,retweeted,2023-01-01 09:28:18+00:00,2023-01-01
1609481633328930817,retweeted,2023-01-01 09:28:18+00:00,2023-01-01
1609481762576506883,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481762551349248,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481762542948352,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481762513600512,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481762513494018,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481762500972544,retweeted,2023-01-01 09:28:49+00:00,2023-01-01
1609481825046380546,retweeted,2023-01-01 09:29:04+00:00,2023-01-01
1609482101665009668,retweeted,2023-01-01 09:30:10+00:00,2023-01-01
1609483861326721025,tweet,2023-01-01 09:37:09+00:00,2023-01-01
1609484274285309952,retweeted,2023-01-01 09:38:48+00:00,2023-01-01
1609484324918755328,retweeted,2023-01-01 09:39:00+00:00,2023-01-01
1609485158800936960,retweeted,2023-01-01 09:42:19+00:00,2023-01-01
1609485287574347776,tweet,2023-01-01 09:42:50+00:00,2023-01-01
1609485593691717632,retweeted,2023-01-01 09:44:02+00:00,2023-01-01
1609485723270533121,retweeted,2023-01-01 09:44:33+00:00,2023-01-01
1609486059725000704,tweet,2023-01-01 09:45:54+00:00,2023-01-01
1609488155727519746,tweet,2023-01-01 09:54:13+00:00,2023-01-01
1609488160618315777,retweeted,2023-01-01 09:54:14+00:00,2023-01-01
1609488178431270912,retweeted,2023-01-01 09:54:19+00:00,2023-01-01
1609488463715340289,retweeted,2023-01-01 09:55:27+00:00,2023-01-01
1609489556012769280,retweeted,2023-01-01 09:59:47+00:00,2023-01-01
